M Codes,,,,,
,,,,,
,Code,Category,Function,Notes,
,M00,M-Code,Program Stop (non-optional),,
,M01,M-Code,Optional Stop: Operator Selected to Enable,,
,M02,M-Code,End of Program,,
,M03,M-Code,Spindle ON (CW Rotation),,
,M04,M-Code,Spindle ON (CCW Rotation),,
,M05,M-Code,Spindle Stop,,
,M06,M-Code,Tool Change,,
,M07,M-Code,Mist Coolant ON,,
,M08,M-Code,Flood Coolant ON,,
,M09,M-Code,Coolant OFF,,
,,,,,
,M17,M-Code,FADAL subroutine return,,
,M29,M-Code,Rigid Tapping Mode on Fanuc Controls,,
,M30,M-Code,"End of Program, Rewind and Reset Modes",,
,,,,,
,M97,M-Code,Haas-Style Subprogram Call,,
,M98,M-Code,Subprogram Call,,
,M99,M-Code,Return from Subprogram,,
